"","Species","Lake","Year","Length_cm","Weight_g","Length_mm","Length_group","n","mean_w","median_w","total_w_g"
"1","Smallmouth Bass","Michigan",2015,31.3,1416,313,"200-400mm",4,1225.9,1181,12259
"2","Yellow Perch","Michigan",2020,43.9,1104,439,"400-600mm",3,1228.5,1191.5,9828
"3","Smallmouth Bass","Erie",2023,47,1299,470,"400-600mm",7,1403.71428571429,1254,9826
"4","Smallmouth Bass","Erie",2017,21.4,1254,214,"200-400mm",4,1403.71428571429,1254,9826
"5","Yellow Perch","Erie",2017,47.7,150,477,"400-600mm",3,636.375,595,5091
"6","Walleye","Erie",2023,48.3,965,483,"400-600mm",13,968.125,979,15490
"7","Walleye","Erie",2015,39.5,1273,395,"200-400mm",9,968.125,979,15490
"8","Walleye","Erie",2020,32.5,416,325,"200-400mm",9,968.125,979,15490
"9","Yellow Perch","Erie",2023,64.6,1520,646,">600mm",4,636.375,595,5091
"10","Yellow Perch","Erie",2019,28.3,595,283,"200-400mm",8,636.375,595,5091
"11","Smallmouth Bass","Michigan",2019,84.6,559,846,">600mm",3,1225.9,1181,12259
"12","Walleye","Michigan",2020,40.4,977,404,"400-600mm",13,1028.63636363636,1099,11315
"13","Yellow Perch","Michigan",2023,65.6,824,656,">600mm",4,1228.5,1191.5,9828
"14","Yellow Perch","Michigan",2019,57.7,1279,577,"400-600mm",3,1228.5,1191.5,9828
"15","Smallmouth Bass","Michigan",2023,17.5,1923,175,"<200mm",3,1225.9,1181,12259
"16","Yellow Perch","Michigan",2022,33.4,1955,334,"200-400mm",8,1228.5,1191.5,9828
"17","Walleye","Erie",2015,34,1339,340,"200-400mm",9,968.125,979,15490
"18","Yellow Perch","Michigan",2015,24.2,1417,242,"200-400mm",8,1228.5,1191.5,9828
"19","Smallmouth Bass","Michigan",2015,29.1,753,291,"200-400mm",4,1225.9,1181,12259
"20","Walleye","Erie",2023,61.2,1366,612,">600mm",4,968.125,979,15490
"21","Smallmouth Bass","Michigan",2021,59.8,1775,598,"400-600mm",7,1225.9,1181,12259
"22","Walleye","Erie",2020,36.8,442,368,"200-400mm",9,968.125,979,15490
"23","Smallmouth Bass","Michigan",2019,16.7,1471,167,"<200mm",3,1225.9,1181,12259
"24","Walleye","Erie",2019,47.1,1251,471,"400-600mm",13,968.125,979,15490
"25","Walleye","Michigan",2015,19.9,1183,199,"<200mm",1,1028.63636363636,1099,11315
"26","Walleye","Michigan",2022,24.1,713,241,"200-400mm",9,1028.63636363636,1099,11315
"27","Yellow Perch","Erie",2022,19.6,337,196,"<200mm",1,636.375,595,5091
"28","Smallmouth Bass","Michigan",2020,56.9,1983,569,"400-600mm",7,1225.9,1181,12259
"29","Smallmouth Bass","Erie",2015,67.3,1235,673,">600mm",3,1403.71428571429,1254,9826
"30","Walleye","Erie",2019,63.9,1081,639,">600mm",4,968.125,979,15490
"31","Smallmouth Bass","Michigan",2016,39.7,544,397,"200-400mm",4,1225.9,1181,12259
"32","Yellow Perch","Erie",2017,35.5,993,355,"200-400mm",8,636.375,595,5091
"33","Walleye","Erie",2016,37.2,427,372,"200-400mm",9,968.125,979,15490
"34","Walleye","Michigan",2016,55.4,511,554,"400-600mm",13,1028.63636363636,1099,11315
"35","Yellow Perch","Erie",2022,30.9,710,309,"200-400mm",8,636.375,595,5091
"36","Smallmouth Bass","Michigan",2016,60.4,889,604,">600mm",3,1225.9,1181,12259
"37","Walleye","Erie",2017,43.9,993,439,"400-600mm",13,968.125,979,15490
"38","Smallmouth Bass","Erie",2019,19.6,1192,196,"<200mm",3,1403.71428571429,1254,9826
"39","Smallmouth Bass","Erie",2023,59.7,1206,597,"400-600mm",7,1403.71428571429,1254,9826
"40","Walleye","Erie",2023,39.9,959,399,"200-400mm",9,968.125,979,15490
"41","Walleye","Michigan",2018,38.5,1375,385,"200-400mm",9,1028.63636363636,1099,11315
"42","Yellow Perch","Michigan",2016,32.6,1722,326,"200-400mm",8,1228.5,1191.5,9828
"43","Walleye","Michigan",2017,25.2,1189,252,"200-400mm",9,1028.63636363636,1099,11315
"44","Smallmouth Bass","Michigan",2021,42.2,946,422,"400-600mm",7,1225.9,1181,12259
"45","Walleye","Erie",2021,52.4,900,524,"400-600mm",13,968.125,979,15490
"46","Walleye","Michigan",2020,51.2,1771,512,"400-600mm",13,1028.63636363636,1099,11315
"47","Yellow Perch","Michigan",2017,38.1,657,381,"200-400mm",8,1228.5,1191.5,9828
"48","Walleye","Erie",2023,42.2,852,422,"400-600mm",13,968.125,979,15490
"49","Yellow Perch","Erie",2020,32.8,191,328,"200-400mm",8,636.375,595,5091
"50","Smallmouth Bass","Erie",2020,43.3,2095,433,"400-600mm",7,1403.71428571429,1254,9826
"51","Walleye","Erie",2019,40.2,1089,402,"400-600mm",13,968.125,979,15490
"52","Smallmouth Bass","Erie",2022,41.8,1545,418,"400-600mm",7,1403.71428571429,1254,9826
"53","Walleye","Michigan",2021,72.9,1214,729,">600mm",4,1028.63636363636,1099,11315
"54","Yellow Perch","Erie",2018,81.1,595,811,">600mm",4,636.375,595,5091
"55","Walleye","Erie",2020,44.8,742,448,"400-600mm",13,968.125,979,15490
"56","Walleye","Michigan",2022,42.2,1099,422,"400-600mm",13,1028.63636363636,1099,11315
"57","Yellow Perch","Michigan",2020,65.7,870,657,">600mm",4,1228.5,1191.5,9828
"58","Walleye","Michigan",2017,55.2,1090,552,"400-600mm",13,1028.63636363636,1099,11315
"59","Walleye","Michigan",2020,79,193,790,">600mm",4,1028.63636363636,1099,11315
"60","Walleye","Erie",2019,51.8,1395,518,"400-600mm",13,968.125,979,15490
